date,bond20_03,index300
12/5/2012,98.2858,2207.878
12/6/2012,98.3651,2203.602
12/7/2012,98.3044,2246.757
12/10/2012,98.3023,2271.046
12/11/2012,98.1416,2258.5
12/12/2012,98.231,2267.767
12/13/2012,98.2403,2242.635
12/14/2012,98.2496,2355.865
12/17/2012,98.2575,2366.7
12/18/2012,98.1868,2368.12
12/19/2012,97.9562,2371.109
12/20/2012,97.8555,2384.816
12/21/2012,97.9848,2372.002
12/24/2012,98.0227,2381.217
12/25/2012,97.9821,2448.395
12/26/2012,98.0714,2457.619
12/27/2012,98.1107,2444.594
12/28/2012,98.15,2480.049
12/31/2012,98.2079,2522.952
1/4/2013,98.1852,2524.409
1/7/2013,98.2732,2535.985
1/8/2013,98.3225,2525.33
1/9/2013,98.3418,2526.126
1/10/2013,98.2511,2530.569
1/11/2013,98.2104,2483.23
1/14/2013,98.1684,2577.725
1/15/2013,98.0477,2595.856
1/16/2013,97.987,2577.092
1/17/2013,97.9963,2552.758
1/18/2013,98.1156,2595.439
1/21/2013,98.1336,2610.898
1/22/2013,98.1329,2596.898
1/23/2013,98.2422,2607.456
1/24/2013,98.3815,2582.755
1/25/2013,98.4808,2571.674
1/28/2013,98.3488,2651.863
1/29/2013,98.3181,2675.866
1/30/2013,98.3074,2688.711
1/31/2013,98.3167,2686.882
2/1/2013,98.276,2743.324
2/4/2013,98.294,2748.028
2/5/2013,98.3433,2771.675
2/6/2013,98.4226,2775.844
2/7/2013,98.4419,2759.87
2/8/2013,98.6912,2771.725
2/18/2013,98.7044,2737.471
2/19/2013,98.6737,2685.606
2/20/2013,98.773,2702.635
2/21/2013,98.9023,2610.549
2/22/2013,99.0416,2596.604
2/25/2013,98.6696,2604.96
2/26/2013,98.6089,2567.595
2/27/2013,98.6682,2594.677
2/28/2013,98.6475,2673.327
3/1/2013,98.6668,2668.836
3/4/2013,98.8848,2545.715
3/5/2013,98.8241,2622.807
3/6/2013,98.7934,2650.202
3/7/2013,98.8227,2619.479
3/8/2013,98.8521,2606.927
3/11/2013,98.92,2592.372
3/12/2013,98.9193,2555.615
3/13/2013,98.8986,2527.486
3/14/2013,98.8979,2534.273
3/15/2013,98.9173,2539.873
3/18/2013,98.8552,2502.493
3/19/2013,98.7245,2525.097
3/20/2013,98.7638,2610.174
3/21/2013,98.8332,2614.988
3/22/2013,98.9025,2618.308
3/25/2013,98.9604,2613.097
3/26/2013,98.9697,2575.05
3/27/2013,98.979,2583.53
3/28/2013,99.2184,2499.302
3/29/2013,99.2277,2495.083
4/1/2013,99.6656,2493.187
4/2/2013,100.3249,2486.391
4/3/2013,100.5742,2483.547
4/8/2013,100.5208,2472.299
4/9/2013,100.4501,2489.43
4/10/2013,100.4595,2485.309
4/11/2013,100.4188,2477.876
4/12/2013,100.6381,2462.112
4/15/2013,100.796,2436.818
4/16/2013,100.9453,2459.592
4/17/2013,99.1393,2458.473
4/18/2013,98.7886,2464.851
4/19/2013,98.7279,2533.827
4/22/2013,98.4359,2530.67
4/23/2013,98.6352,2449.471
4/24/2013,98.7045,2495.579
4/25/2013,98.7138,2467.875
4/26/2013,99.0632,2447.306
5/2/2013,99.039,2449.639
5/3/2013,99.1584,2492.912
5/6/2013,99.0863,2525.983
5/7/2013,99.1856,2529.938
5/8/2013,99.0249,2542.798
5/9/2013,99.1042,2527.794
5/10/2013,99.1836,2540.836
5/13/2013,99.2515,2530.768
5/14/2013,99.2708,2493.338
5/15/2013,99.2901,2506.925
5/16/2013,99.2895,2552.709
5/17/2013,99.3388,2592.048
5/20/2013,99.2767,2609.607
5/21/2013,99.256,2614.853
5/22/2013,99.2953,2618.034
5/23/2013,99.4247,2582.849
5/24/2013,99.494,2597.228
5/27/2013,99.5319,2599.587
5/28/2013,99.5912,2644.359
5/29/2013,99.5505,2642.561
5/30/2013,99.5699,2634.323
5/31/2013,99.5792,2606.426
6/3/2013,99.5071,2602.623
6/4/2013,99.3664,2565.666
6/5/2013,99.3358,2560.539
6/6/2013,99.1551,2527.845
6/7/2013,99.1744,2484.16
6/13/2013,99.1603,2399.937
6/14/2013,99.1296,2416.771
6/17/2013,99.1975,2403.839
6/18/2013,99.1868,2418.745
6/19/2013,98.8662,2400.765
6/20/2013,98.3655,2321.466
6/21/2013,98.5148,2317.394
6/24/2013,98.0127,2171.21
6/25/2013,98.1621,2165.421
6/26/2013,98.5614,2168.297
6/27/2013,98.7707,2160.735
6/28/2013,98.8,2200.639
7/1/2013,99.2979,2213.317
7/2/2013,99.4973,2221.984
7/3/2013,99.5566,2203.828
7/4/2013,99.5959,2221.979
7/5/2013,99.5352,2226.849
7/8/2013,99.6332,2163.619
7/9/2013,99.6225,2162.669
7/10/2013,99.5818,2224.065
7/11/2013,99.4011,2326.688
7/12/2013,99.3604,2275.373
7/15/2013,99.3684,2307.297
7/16/2013,99.3377,2317.848
7/17/2013,99.047,2282.836
7/18/2013,99.0563,2245.328
7/19/2013,99.0156,2190.478
7/22/2013,98.8036,2202.189
7/23/2013,98.6929,2265.845
7/24/2013,98.3522,2249.151
7/25/2013,98.5915,2237.683
7/26/2013,98.6808,2224.008
7/29/2013,98.5888,2175.97
7/30/2013,98.6981,2189.388
7/31/2013,98.6974,2193.021
8/1/2013,98.7867,2245.364
8/2/2013,98.856,2247.263
8/5/2013,98.724,2278.329
8/6/2013,98.7433,2293.641
8/7/2013,98.5726,2280.623
8/8/2013,98.4719,2276.782
8/9/2013,98.5212,2286.01
8/12/2013,98.4892,2352.794
8/13/2013,98.3785,2359.068
8/14/2013,98.4078,2349.08
8/15/2013,98.3571,2321.576
8/16/2013,98.3064,2304.144
8/19/2013,98.3144,2331.43
8/20/2013,98.1737,2312.465
8/21/2013,98.223,2308.589
8/22/2013,98.1523,2303.932
8/23/2013,98.1616,2286.929
8/26/2013,98.1696,2335.616
8/27/2013,98.1689,2340.881
8/28/2013,98.0482,2328.056
8/29/2013,98.0075,2318.311
8/30/2013,97.9268,2313.91
9/2/2013,97.9248,2320.344
9/3/2013,97.6041,2354.502
9/4/2013,97.5134,2350.699
9/5/2013,97.5227,2341.735
9/6/2013,97.4421,2357.782
9/9/2013,97.47,2440.609
9/10/2013,97.2693,2474.894
9/11/2013,96.8486,2482.889
9/12/2013,96.4579,2507.455
9/13/2013,96.5673,2488.902
9/16/2013,96.5252,2478.39
9/17/2013,96.7445,2427.322
9/18/2013,97.1438,2432.51
9/23/2013,97.2504,2472.288
9/24/2013,97.2497,2443.885
9/25/2013,97.309,2429.03
9/26/2013,97.3784,2384.443
9/27/2013,97.3977,2394.971
9/30/2013,97.6956,2409.037
10/8/2013,97.4301,2441.811
10/9/2013,97.6395,2453.583
10/10/2013,97.5488,2429.317
10/11/2013,97.6881,2468.508
10/14/2013,97.586,2472.542
10/15/2013,97.2953,2467.517
10/16/2013,97.0147,2421.371
10/17/2013,95.1593,2413.33
10/18/2013,95.3686,2426.054
10/21/2013,95.4466,2471.322
10/22/2013,95.4359,2445.891
10/23/2013,95.3552,2418.491
10/24/2013,95.1845,2400.511
10/25/2013,95.0938,2368.559
10/28/2013,95.0818,2365.954
10/29/2013,95.0811,2372.053
10/30/2013,94.9004,2407.471
10/31/2013,94.8497,2373.718
11/1/2013,94.879,2384.96
11/4/2013,94.917,2380.454
11/5/2013,94.9463,2383.769
11/6/2013,94.8756,2353.568
11/7/2013,94.1549,2340.552
11/8/2013,93.9142,2307.945
11/11/2013,93.5122,2315.889
11/12/2013,93.5615,2340
11/13/2013,92.9208,2288.116
11/14/2013,92.1201,2304.501
11/15/2013,91.7795,2350.734
11/18/2013,91.4374,2428.903
11/19/2013,91.1167,2412.163
11/20/2013,91.076,2424.85
11/21/2013,91.7953,2409.989
11/22/2013,91.6147,2397.962
11/25/2013,91.5726,2388.629
11/26/2013,91.6619,2387.416
11/27/2013,91.8112,2414.481
11/28/2013,91.8205,2439.53
11/29/2013,92.3799,2438.944
12/2/2013,91.7478,2418.788
12/3/2013,92.1971,2442.784
12/4/2013,92.1064,2475.135
12/5/2013,91.9658,2468.197
12/6/2013,91.7451,2452.287
12/9/2013,91.773,2450.872
12/10/2013,91.6123,2453.322
12/11/2013,91.5116,2412.763
12/12/2013,91.571,2410.015
12/13/2013,91.7203,2406.639
