,Symbol,Latest Bond Rating,estimated_dirty_price_SHCH,Coupon Description,calculated_dirty_price,FULL,fv_bond,HPR
145,2021003.IB,AA+,103.1899,2.96%,103.1475749,102.6648,105.679364,0.029363171
29,1920014.IB,AAA,105.3536,3.80%,105.6863718,105.1963,108.2804765,0.029318298
89,1921029.IB,AA+,102.041,3.55%,102.1280699,101.6614,104.6348349,0.029248416
74,1920087.IB,AAA,102.7469,3.80%,103.3485764,102.8803,105.8852992,0.029208694
250,2121004.IB,AAA,104.9997,3.58%,105.1027308,104.6273,107.6825098,0.029200885
155,2021027.IB,AA+,102.9571,3.80%,103.2646902,102.8059,105.799354,0.029117531
226,2120070.IB,AAA,102.0974,3.16%,102.4465212,101.9931,104.9611027,0.029100034
200,2120012.IB,AAA,104.8385,3.57%,104.9314867,104.4696,107.5070624,0.029075084
211,2120034.IB,AAA,104.2044,3.38%,104.0790901,103.6604,106.6337436,0.028683505
239,2120098.IB,AAA,101.4602,3.10%,101.6467675,101.2443,104.1417188,0.028618093
19,1826006.IB,AAA,103.9886,4.40%,104.2158726,103.8094,106.7738834,0.028556984
20,1826007.IB,AAA,103.6491,4.35%,103.8865665,103.493,106.4364944,0.028441483
96,1921046.IB,AA+,101.4648,3.70%,101.5295162,101.1595,104.0215896,0.02829284
180,2028016.IB,AAA,102.0441,2.67%,101.6473119,101.2791,104.1422766,0.028270162
253,2121013.IB,AAA,104.592,3.52%,104.693972,104.3296,107.263718,0.028123543
177,2028011.IB,AAA,101.3939,1.99%,100.9281553,100.5785,103.4054681,0.028107081
112,2020005.IB,AAA,103.0562,2.92%,103.0822512,102.732,105.6124369,0.028038361
157,2021031.IB,AAA,102.4262,3.60%,102.4840094,102.1416,104.9995111,0.027979893
10,1720054.IB,AAA,103.6347,4.96%,103.6554402,103.3141,106.199695,0.027930312
147,2021005.IB,AAA,103.2056,3.03%,103.292911,102.9545,105.8282674,0.027912985
137,2020072.IB,AAA,102.6249,3.73%,102.7804387,102.4494,105.3032164,0.027855862
110,2020003.IB,AAA,100.9475,3.73%,101.2632442,100.9388,103.7487819,0.027838471
169,2028001.IB,AAA,101.0647,3.47%,101.0593942,100.738,103.5399283,0.027814016
84,1921018.IB,AAA,103.1669,3.78%,103.1900171,102.8641,105.7228479,0.027791503
257,2121025.IB,AAA,103.36,3.29%,103.44788,103.1281,105.9870402,0.027722223
98,1921050.IB,AA+,101.31,3.62%,101.3821994,101.0737,103.8706569,0.027672449
165,2026003.IB,AAA,103.0757,3.75%,103.1632768,102.853,105.6954514,0.027636057
149,2021008.IB,AAA,102.9091,2.89%,102.9653345,102.6563,105.4926505,0.027629581
58,1920060.IB,AAA,101.9784,4.00%,102.2530236,101.9463,104.7628557,0.027627836
116,2020010.IB,AAA,103.2237,2.92%,103.0306561,102.7237,105.5595754,0.027606827
15,1820039.IB,AAA,105.1391,4.50%,105.0712564,104.7616,107.6502628,0.02757368
176,2028010.IB,AAA,101.5371,2.08%,101.1233221,100.826,103.6054253,0.027566553
183,2028021.IB,AAA,102.6182,2.95%,102.5405972,102.2413,105.0574878,0.027544523
83,1921014.IB,A+,103.7393,4.30%,103.9173792,103.6167,106.4680634,0.027518377
76,1920090.IB,AAA,101.3479,3.88%,101.6100943,101.3277,104.1041455,0.027400656
156,2021030.IB,AAA,102.6672,3.63%,102.6435796,102.3661,105.162998,0.027322502
75,1920089.IB,AA+,101.4546,3.90%,101.678933,101.4065,104.1746738,0.027297795
22,1920007.IB,AAA,105.7227,3.75%,105.6562448,105.3781,108.24961,0.02724959
93,1921042.IB,AAA,101.3232,3.59%,101.4528144,101.1975,103.9430051,0.027130168
120,2020017.IB,AAA,102.2789,2.80%,102.587024,102.341,105.1050542,0.027008278
72,1920084.IB,AAA,101.4032,3.80%,101.6271645,101.4001,104.1216346,0.026839566
61,1920063.IB,AA+,101.5824,3.70%,101.9064038,101.679,104.4077279,0.026836691
174,2028008.IB,AAA,102.7293,2.75%,102.6450002,102.4232,105.1644535,0.02676399
104,1928015.IB,AAA,102.4298,3.45%,102.3932994,102.1722,104.9065746,0.026762413
212,2120035.IB,AAA,104.3071,3.48%,104.3392165,104.1174,106.9002548,0.026728047
53,1920052.IB,AA+,102.5676,4.30%,102.8658137,102.6514,105.3906869,0.026685334
131,2020045.IB,AAA,102.8702,3.40%,102.754356,102.5525,105.2764935,0.026561941
56,1920056.IB,AAA,101.955,3.55%,101.9629029,101.7714,104.4656139,0.026473193
71,1920083.IB,AAA,101.1517,3.45%,101.2665956,101.0778,103.7522155,0.02645898
68,1920077.IB,AAA,101.3623,3.56%,101.4912594,101.3141,103.9823938,0.026336845
161,2021036.IB,AAA,102.5062,3.75%,102.5935303,102.4186,105.1117202,0.026295226
102,1926005.IB,AAA,101.9414,3.52%,102.0022463,101.8297,104.5059229,0.026281359
144,2021001.IB,AAA,100.825,3.20%,100.825984,100.6579,103.300789,0.02625615
135,2020057.IB,AAA,103.1385,3.75%,103.2244901,103.0543,105.7581672,0.026237306
1,1320015.IB,AAA,106.9954,5.13%,107.1077966,106.933,109.7367906,0.026220069
52,1920050.IB,AAA,102.228,3.66%,102.2362723,102.0838,104.7456932,0.026075569
111,2020004.IB,AAA,103.3832,3.06%,103.4089811,103.2708,105.9471865,0.025916198
59,1920061.IB,AAA,101.7979,3.46%,101.691343,101.5555,104.1873884,0.025915765
159,2021033.IB,AAA,102.7074,3.75%,102.6511365,102.5214,105.1707404,0.025841828
290,2128031.IB,AAA,101.2962,2.80%,101.129402,101.0059,103.6116545,0.025798042
66,1920072.IB,AA+,101.3908,3.80%,101.7564547,101.6369,104.2540983,0.025750473
37,1920028.IB,AA,103.3395,4.15%,103.6075258,103.4891,106.1506046,0.025717728
57,1920057.IB,AAA,102.0056,3.59%,102.0020814,101.886,104.505754,0.0257126
171,2028004.IB,AAA,103.1792,2.95%,103.1654169,103.0487,105.697644,0.025705749
88,1921026.IB,AAA,102.2064,3.59%,102.2678617,102.1634,104.778058,0.025592903
