,Symbol,Latest Bond Rating,Coupon Description,calculated_dirty_price,FULL,fv_bond
191,197441.SH,AA+,6.50%,108.05803405689998,101.4247,110.7317429149301
192,177100.SH,AAA,6.50%,108.10118429299767,101.5137,110.77596082886858
193,178626.SH,AA+,6.50%,108.17061290138855,101.6205,110.84710732789918
194,175398.SH,AAA,6.50%,108.1615688956545,101.6384,110.83783954391065
195,177011.SH,AA+,6.50%,108.22191605035931,101.763,110.89967988441605
196,167854.SH,AAA,6.50%,108.29134270029655,101.8699,110.97082437653448
197,152309.SH,AAA,6.50%,116.97735759513766,101.9589,119.87175966270057
198,139459.SH,AAA,6.50%,108.28165193807102,101.9589,110.9608938331855
199,175284.SH,AA+,6.50%,108.35163600854767,101.9945,111.03260953824895
200,137091.SH,AA+,6.50%,104.73945814682499,102.0836,107.33105459290671
201,137089.SH,AA+,6.50%,104.8821160199695,102.3685,107.47724228798832
202,196900.SH,AA+,6.50%,111.82789153685322,102.3863,114.59487898749916
203,184070.SH,AAA,6.50%,121.17749827692141,102.4041,124.17582554952686
204,152609.SH,AAA,6.50%,119.23431074185049,102.4041,122.18455720518826
205,184053.SH,AAA,6.50%,121.32047825811998,102.6,124.32234332266833
206,197120.SH,AAA,6.50%,111.96029796458065,102.6712,114.73056158290598
207,152283.SH,AAA,6.50%,117.51417037774843,102.689,120.42185494766757
208,152263.SH,AA+,6.50%,117.64506183463041,102.8671,120.55598508689984
209,152566.SH,AAA,6.50%,119.57138539570298,102.8849,122.52997218741787
210,196534.SH,AAA,6.50%,117.71907091758612,102.974,120.6318253964034
211,155652.SH,AA+,6.50%,105.15082294200411,101.974,107.75259789731332
212,151818.SH,AA+,6.50%,105.20124352918293,103.0986,107.80426605457562
213,152539.SH,AA+,6.50%,119.75919315275951,103.1521,122.72242692207335
214,196610.SH,AAA,6.50%,112.23403629202238,103.2233,115.01107309104873
215,152991.SH,AAA,6.50%,121.77725802731443,103.2411,124.7904253159475
216,151937.SH,AA+,6.50%,105.28710833620326,103.3658,107.89225543749744
217,178921.SH,AA+,6.50%,112.33120223313959,103.4192,115.11064323505312
218,167012.SH,AAA,6.50%,108.99682683934125,103.4548,111.69376449845194
219,163671.SH,AAA,6.50%,109.04965719477266,103.4726,111.74790204950767
220,139448.SH,AA+,6.50%,120.08524766334726,103.6151,123.05654908668394
221,188381.SH,AA+,6.50%,112.46363521231831,103.6507,115.24635303888088
222,167208.SH,AA+,6.50%,109.12415350595612,103.6507,111.82424164285739
223,152923.SH,AAA,6.50%,122.28671579803324,103.9712,125.31248873664182
224,152512.SH,AAA,6.50%,120.33677155005584,103.9712,123.31429649624086
