,WINDCODE,YOYEPS_BASIC,YOYEPS_DILUTED,YOYOCFPS,YOY_TR,YOY_OR,YOYOP,YOYOP2,YOYEBT,YOYPROFIT,YOYNETPROFIT,YOYNETPROFIT_DEDUCTED,DP_YOY,YOYROE,YOYOCF,MAINTENANCE,YOY_CASH,YOY_FIXEDASSETS,FA_RDEXP_YOY,YOY_EQUITY,YOYCF,YOYDEBT,YOY_ASSETS,ROE_AVG,ROE_BASIC,ROE_DILUTED,ROE_DEDUCTED,ROE_EXBASIC,ROE_EXDILUTED,ROE_ADD,ROA2,ROA,ROIC,ROP,ROE_YEARLY,ROA2_YEARLY,ROA_YEARLY,NETPROFITMARGIN,NETPROFITMARGIN_DEDUCTED,GROSSPROFITMARGIN,COGSTOSALES,NPTOCOSTEXPENSE,EXPENSETOSALES,OPTOEBT,PROFITTOGR,OPTOGR,EBITTOGR,GCTOGR,OPERATEEXPENSETOGR,ADMINEXPENSETOGR,FINAEXPENSETOGR,IMPAIRTOOP,EBITDATOSALES
2010-03-31,002466.SZ,,,,,,,,,,,,-19.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.167016020107187,,56.381855860860966,,,,,,,,2.842910576378346,
2010-06-30,002466.SZ,,,,,,,,,,,,,,,,,,,,,,,7.7068,7.71,,6.2009,6.2,5.9708,6.2,6.1084,4.599,5.8392,,15.4136,12.2168,9.198,13.8025,11.105510068147465,22.274,77.726,16.09899168753203,8.0093,80.96376404159302,13.8025,13.495,18.3323,86.5116,2.4535,3.6659,1.8898,4.676838890664149,22.214671815608448
2010-09-30,002466.SZ,11.764705882352935,-23.529411764705884,-121.34,-10.9756,-10.9756,9.1492,,18.493,17.671301527963294,17.7248,,,,-128.4475,,,,,,2027.1782207120334,,,4.9517,8.94,3.0982,4.1193,7.44,2.5774,7.44,5.2246,3.9209,4.7074,273.78819991918255,6.6023,6.9661,5.2279,13.8446,11.517426056146029,22.6253,77.3747,16.233550945913994,7.9094,83.48456523597945,13.8446,13.8801,18.4477,86.1242,2.4363,3.6513,1.8218,4.8564287264199875,
2010-12-31,002466.SZ,-4.0000000000000036,-36.0,-175.0,-3.5618,-3.5618,4.5246,,10.4899,6.59175730877163,6.6198,1.31,1.31,-73.4669,-198.0583,86.77613911066804,1068.603438134811,13.608736788902826,,301.8371817230418,4988.116183857698,-36.47837856302037,170.3952580024756,6.5287,8.06,4.0767,5.532,6.83,3.4543,6.83,6.6545,5.4089,5.962,175.97493921189943,6.5287,6.6545,5.4089,13.214,11.19666477766005,21.8705,78.1295,15.411972047262834,7.6093,85.27499524957646,13.214,13.7549,16.2573,86.2482,2.5907,4.7239,0.2947,1.8252173022798401,19.864154428455095
2011-03-31,002466.SZ,-10.000000000000009,-40.00000000000001,-124.32,28.9383,28.9383,75.0879,,17.6947,16.141790023770756,16.1418,,,,-123.0912,,,,,,-168.53807684552316,,,0.9228,0.92,0.9185,0.7688,0.77,0.7652,0.77,0.8139,0.8443,0.7191,576.8539321344566,3.6912,3.2556,3.3772,11.5949,9.659448112965382,17.33,82.67,13.393681640061883,3.8999,83.87611947135066,11.5949,11.8449,11.1774,88.1551,2.0505,4.7938,-2.9444,10.29735316832098,
2011-06-30,002466.SZ,-23.529411764705884,-23.529411764705884,-36.36,37.5479,37.5479,-0.6423,,2.0148,4.047934219956645,4.0479,1.84,1.84,-72.3215,-175.1623,118.43846666733965,2101.331484108551,12.157907583983166,,275.9162817536733,-320.5858289616117,-30.367736379295135,148.41692281894044,2.0647,2.06,2.054,1.626,1.62,1.6176,1.62,1.7535,1.8495,1.6125,242.05141378905802,4.1294,3.507,3.699,10.4409,8.222721363701126,15.8078,84.1922,11.678650121341763,5.2094,78.8549702726116,10.4409,9.7481,9.8988,90.2525,2.6307,4.5229,-1.9442,6.0951784335179235,12.926886930853804
2011-09-30,002466.SZ,-15.384615384615389,-15.384615384615389,25.0,41.1822,41.1822,5.5043,,9.0055,10.242630691972323,10.2426,6.9063,6.9063,6.62,-13.7253,,-38.76958604097345,51.44354221841466,,3.3976918981395197,-118.80904481742964,-17.47875771845645,0.37607826387281307,3.3418,3.34,3.3034,2.6959,2.69,2.6649,2.69,3.1056,2.9892,2.8523,156.8722516831162,4.4557,4.1408,3.9856,10.8106,8.721253348242765,16.1147,83.8853,12.127156273312412,5.2587,80.8030387782068,10.8106,10.3725,11.2318,89.6279,2.4465,4.4171,-1.6049,2.421632796255641,
2011-12-30,002466.SZ,,,,,,,,,,,,6.9063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-30,002466.SZ,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-29,002466.SZ,,,,,,,,,,,,-4.1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-28,002466.SZ,,,,,,,,,,,,24.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,002466.SZ,3.703703703703707,3.703703703703707,-603.8333,-1.466,-1.466,2.8168,,1.0714,3.7493448164568,3.7493,6.05,6.05,0.9758,-572.1372,656.205088161486,32.39185400991171,22.584477486845277,,2.746706491921037,181.84941654688546,302.4515704332969,39.718786359975276,4.1828,4.19,4.1269,3.562,3.57,3.5144,3.57,3.707,3.1013,3.4,112.7492425865045,4.1828,3.707,3.1013,10.5169,8.955987912587918,21.4113,78.5887,11.81108430910447,10.4541,85.11489020207291,10.5169,10.5007,12.571,89.6741,2.7373,7.3398,0.377,2.2408725874115945,17.391697015225283
2013-03-29,002466.SZ,,,,,,,,,,,,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,002466.SZ,,,,,,,,,,,,-90.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,002466.SZ,-88.46153846153845,-269.2307692307692,-75880.0,-6.7199,-6.7199,-97.5347,,-87.2389,-88.30259538520635,-88.3026,-98.83,-98.83,-88.2332,-70607.1791,,-50.03674508516698,78.66404197382116,,-0.5899260424252347,-153.33669514925361,249.35913262491076,37.76971447099692,0.4406,0.44,0.4428,0.0369,,0.0371,,1.7689,0.2764,1.4477,131.7630283973227,0.5875,2.3585,0.3685,1.5493,0.12979502965873316,18.679,81.321,1.5674801437264365,17.5187,16.165904437993007,1.5493,0.322,9.9135,99.7987,2.1588,7.4385,7.9215,222.05649851233372,
2013-12-31,002466.SZ,-421.42857142857144,-564.2857142857142,-188.5213,4.5729,4.5729,-458.0258,,-383.9499,-417.15349158348704,-417.1535,-60.35,-60.35,-470.5761,-188.5294,825.9337499905627,-90.42859892471864,112.28107938569649,,-14.41608774425141,-400.664047781765,45.95703316006208,7.036640922755093,-14.1053,-14.11,-15.2933,1.5017,1.5,1.6282,-14.11,-6.6728,-8.151,-7.3985,-273.65221830341727,-14.1053,-6.6728,-8.151,-31.8962,3.3957377601377745,14.8579,85.1421,-25.053342624895002,42.1709,107.31938979690163,-31.8962,-35.9511,-26.112,136.1656,2.4186,33.1864,6.566,-23.985324586120928,-19.428946078493723
2014-03-31,002466.SZ,-1200.0,-1200.0,32.1731,19.2327,19.2327,-2384.1764,,-903.3952,-1075.6138205833463,-1075.6138,-2636.93,-2636.93,-355.4416,-19.3693,,231.71829669714617,100.05589197531594,,281.93221532813413,158.36812622114306,40.839765682329784,198.3171017875772,-0.8388,-1.07,-0.5132,-0.7545,,-0.4616,,-0.3937,-0.6298,-0.423,-1600.5359049842464,-3.3552,-1.5748,-2.5192,-22.6782,-20.398339490727178,-4.0891,104.0891,-18.401987208507567,19.1487,104.14882269582573,-22.6782,-23.6191,-14.1758,123.6191,2.3562,8.2901,8.5024,-0.7654785862867323,
2014-06-30,002466.SZ,114.10714285714285,114.03571428571428,222.4647,35.6099,35.6099,141.6911,,143.9635,125.5319540077072,121.1246,-329.8,-329.8,-24.3578,0.1034,6391.052005001871,1201.8650725020602,298.07711031698744,,214.71608966274823,4101.550446328269,140.8747799762229,324.8075289084979,0.8654,0.48,0.5512,-0.4323,-0.33,-0.2754,-0.33,2.3519,1.1491,1.6269,-17.866507813840073,1.7308,4.7038,2.2982,7.5358,-1.3454000747729982,24.4992,75.5008,8.508624431500404,13.0655,97.41939783702665,7.5358,11.9958,15.4243,88.3467,1.33,6.8224,4.9132,-3.414407659635403,24.89002750238396
2014-09-30,002466.SZ,120.0,120.0,269.1739,11.3279,11.3279,169.892,,175.3941,138.4089028293692,137.4379,-195.22,-195.22,86.034,-33.213,,674.1860228953535,272.10236484759093,,196.5900043634721,-63.75706116361377,154.6768878169552,303.6131981280443,1.2757,0.67,0.8237,-0.2202,,-0.1422,,3.601,1.5447,2.3156,5.7255256474198415,1.7009,4.8013,2.0596,7.1178,-0.46906274561327826,25.2537,74.7463,8.088197762297023,13.2565,96.05638998682814,7.1178,12.3499,16.5937,87.9722,1.6493,7.8704,3.7367,-1.3692122675353726,
2014-12-31,002466.SZ,141.53846153846155,141.53846153846155,233.9257,33.1573,33.1573,199.8099,,215.8555,195.8457664854212,168.3076,651.45,651.45,171.3274,35.796,2662.0327644279278,812.0110241974257,138.87401845738913,,-4.233739909748984,-270.4007110818783,70.12230265299866,-8.061401785251968,6.8278,3.73,4.4131,5.5402,3.79,3.5808,3.73,9.0275,7.2114,8.8121,173.63535149943198,6.8278,9.0275,7.2114,19.792,7.444618521191392,32.2257,67.7743,25.183555354684035,10.8167,89.52567112680143,19.792,20.6311,24.7766,79.6107,1.4878,7.9794,1.3496,4.358256155876746,33.32420484159764
2015-03-31,002466.SZ,1556.9620253164555,204.54545454545453,726.0749,29.0754,29.0754,256.1917,,250.5815,370.4390342950842,2137.4574,306.63,306.63,302.1876,-25.3264,,193.41550398454604,123.06615912568262,,-25.867821307507366,25.24024737804787,131.23315679457045,36.515102753117766,1.022,1.02,1.0376,1.2673,,1.2867,,1.4924,0.8451,0.9564,1148.2634847205145,4.088,5.9696,3.3804,14.7013,10.319857783615063,35.7686,64.2314,19.880399940542794,9.7176,98.49384516407207,14.7013,26.2362,25.9626,74.3197,1.3206,9.0718,-0.6748,0.665581668357993,
2015-06-30,002466.SZ,101.52671755725191,-46.94656488549619,168.3857,16.8244,16.8244,186.5457,,181.925,146.08271131934623,135.2352,599.63,599.63,158.2057,168.3697,-122.42551275935129,-11.46480036801308,44.02012285844272,,-8.896191679410027,-45.09991332610137,97.2124422863715,6.469803626884795,1.4042,1.4,1.4232,1.49,1.49,1.5102,1.4,3.9129,1.7938,2.4462,587.7521800704436,2.8084,7.8258,3.5876,15.8736,5.753959863646921,47.3615,52.6385,22.574399654551293,17.6784,99.01607619723545,15.8736,29.4232,34.6256,70.7208,1.5245,10.919,5.235,0.6903721725473634,42.425389402679905
2015-09-30,002466.SZ,169.3181818181818,-29.20454545454545,197.7535,45.1728,45.1728,206.558,,197.2036,171.44722119929753,150.4253,2212.8,2212.8,156.6026,200.8569,,20.878529440101037,47.9070701800463,,-2.407341632580922,500.67328875627186,122.21505273794429,11.706497290222766,2.0927,2.12,2.1137,3.047,,3.0776,,6.5681,2.5729,3.7765,491.1543502764406,2.7903,8.7575,3.4305,13.3091,6.826591822534911,48.2851,51.7149,19.173846914920457,17.6979,99.07972047749199,13.3091,26.0791,33.9759,74.0114,1.4293,8.614,7.6546,16.878427764568503,
2015-12-31,002466.SZ,77.77777777777776,-53.70370370370371,115.949,31.2498,31.2498,75.3286,,56.5201,51.26102888430061,89.9313,161.35,161.35,82.8062,118.2106,261.7037186910927,32.0723001122235,52.82696285021481,,3.8975726161605806,147.10213087950203,148.8455460123741,22.644407410750073,8.2216,8.24,8.0673,9.1796,9.16,9.0074,8.24,8.9121,6.2416,8.5355,315.59987715565546,8.2216,8.9121,6.2416,22.8097,14.824046184530179,46.9424,53.0576,32.951895177703875,16.1634,100.28365405987154,22.8097,27.5598,32.5692,72.8457,1.6311,9.2074,5.325,11.815070698022076,41.508132392873314
2016-03-31,002466.SZ,845.2173913043478,152.17391304347825,249.0253,110.7717,110.7717,399.5647,,394.5548,545.3805965776206,854.9662,670.65,670.65,701.4875,252.6437,,-18.691142435590596,59.690789533150024,,19.149229722823797,-70.64523932143581,100.58364868740763,24.910012888063527,8.7601,8.77,8.3166,8.7661,,8.3222,,6.3461,4.4056,5.3966,2312.835655730007,35.0404,25.3844,17.6224,45.0154,37.73292147333012,69.7949,30.2051,119.6133637459888,7.4289,99.49159282061888,45.0154,62.1843,64.8436,38.1273,0.8671,4.2203,2.3416,-0.11435190629501746,
2016-06-30,002466.SZ,1719.4244604316548,1698.5611510791368,-28.2925,125.7083,125.7083,406.9587,,402.1112,618.2373680049062,1722.5,1611.85,1611.85,1275.0191,175.345,94.95658326506657,14.482850302766307,-5.868326931994352,,32.54360778963152,213.84656709529403,18.02279503870401,13.027570387340115,21.6823,21.52,19.5695,21.6103,21.46,19.5046,21.46,14.6952,10.9711,13.0686,1643.6402274692032,43.3646,29.3904,21.9422,50.5122,43.63995198192982,72.3779,27.6221,148.15909135125872,6.4711,99.97200724353715,50.5122,66.0868,67.6585,35.0038,0.826,4.14,1.5051,0.42142877044989235,73.15304862059413
2016-09-30,002466.SZ,1862.9213483146068,1842.215088282504,-33.873,111.9633,111.9633,429.5699,,426.7479,700.3541930770975,1864.1311,1253.99,1253.99,1212.2459,151.5033,,32.49489166209336,-3.5345512888304,,49.67706193711937,199.24590571173647,0.545704810148011,23.0741151026461,32.477,32.53,27.7371,32.5982,,27.8406,,22.0319,16.7579,19.7396,1373.6839977263583,43.3027,29.3759,22.3439,50.2539,43.60721911021257,71.3393,28.6607,144.33879491292524,6.1559,99.61053433771293,50.2539,65.1561,66.0696,35.6761,0.8223,4.6749,0.6587,0.3155137176550859,
2016-12-30,002466.SZ,,,,,,,,,,,,1253.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,002466.SZ,41.37931034482759,27.58620689655173,-57.9054,41.0664,41.0664,43.7768,,43.6741,47.76815528265574,42.7236,41.77,41.77,-7.0104,60.1068,,145.2460254031134,-4.7829919118429665,,53.483369467599516,35.752689233388594,51.9848471586538,51.483852827131905,8.249,8.25,7.7336,8.1995,,7.6872,,5.7693,4.3309,5.0694,4127.313409594104,32.996,23.0772,17.3236,47.1539,37.92141091784747,68.7858,31.2142,134.2200847936969,3.9176,99.56271257671216,47.1539,63.3791,62.8145,36.2178,0.6468,4.1137,-0.8429,0.05906747551353732,
2017-06-30,002466.SZ,23.68421052631578,10.666666666666663,28.3442,41.5667,41.5667,34.8608,,35.315,32.7836367981049,23.7267,24.66,24.66,-14.3776,28.4522,94.32698109197122,160.34459788319825,-4.139852069239641,,44.50270992735517,69.15994439271475,61.43987835528323,51.392121549251804,18.2865,18.07,16.7559,18.3627,18.14,16.8258,18.07,13.3056,9.6932,11.4608,2306.985122658153,36.573,26.6112,19.3864,47.3783,38.4271575532801,68.6453,31.3547,129.78135494221135,5.1516,99.63642765562192,47.3783,62.9563,65.035,37.4773,0.7,4.152,0.2995,0.0526726644632152,69.56994315313229
2017-09-29,002466.SZ,,,,,,,,,,,,24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-29,002466.SZ,,,,,,,,,,,,29.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,002466.SZ,,,,,,,,,,,,22.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-29,002466.SZ,,,,,,,,,,,,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,002466.SZ,,,,,,,,,,,,38.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,002466.SZ,,,,,,,,,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,002466.SZ,,,,,,,,,,,,-12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,002466.SZ,,,,,,,,,,,,-88.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,002466.SZ,-91.89189189189189,-93.24324324324323,-50.2484,-20.2077,-20.2077,-74.8634,,-72.1393,-70.5483568177428,-91.7418,-99.06,-99.06,-91.7156,-50.2494,,-51.5157643396502,18.553460890110372,20.348926918356185,-0.31612573794727833,90.60678158082113,317.49190274522874,135.14130303646886,1.3743,1.38,1.3724,0.1528,,0.1526,,5.0236,1.326,4.1763,1040.6505804891422,1.8324,6.6981,1.768,16.3175,0.40832173346924777,58.5605,41.4395,17.695075828949804,50.7752,88.79334875041216,16.3175,18.4974,61.8198,92.4922,0.8119,6.5207,43.4426,,
2019-12-31,002466.SZ,-371.5025906735751,-372.9166666666667,-49.7019,-22.4809,-22.4809,-226.5622,,-223.2954,-295.4945975870829,-371.9572,-430.64,-430.64,-495.8937,-34.9463,772.1551307086049,128.4242000392819,149.0345751600403,-1.3931113506795978,-31.305503346858295,176.49257078811868,15.263626640171212,4.397838546218545,-69.9844,-84.38,-85.9311,-72.7452,-87.71,-89.3209,-87.71,-5.3573,-12.0186,-7.022,-484.0186261966254,-69.9844,-5.3573,-12.0186,-113.257,-128.4836431793799,56.5625,43.4375,-118.02059635770397,52.5263,101.29290186882882,-113.257,-93.7511,-50.4843,206.1794,0.9086,9.7133,41.9044,116.99851541279207,-43.62046986091614
2020-03-31,002466.SZ,-525.0,-525.0,-97.7901,-27.5689,-27.5689,-209.0215,,-193.7061,-231.31150623116423,-549.5242,-887.58,-887.58,-849.8993,-97.1572,,-29.382863511377867,128.02942240357868,-54.03736235146478,-40.055389784237,-1407.448565421461,6.731187981949328,-4.349318121609765,-7.6707,-7.68,-8.2268,-9.9179,,-10.6368,,0.2977,-0.8423,0.3326,-2425.8048489639114,-30.6828,1.1908,-3.3692,-39.0621,-66.79464773316084,53.1671,46.8329,-24.14308018379817,114.9614,100.3583374415786,-39.0621,-38.0089,13.8066,161.6856,0.8722,10.0768,104.0124,,
2020-06-30,002466.SZ,-435.71428571428567,-435.71428571428567,-88.6875,-27.445,-27.445,-122.7409,,-118.4144,-158.29340763398702,-460.1513,-767.83,-767.83,-677.252,-85.3715,1362.708848066418,6.027339626805132,144.03632507860144,-51.72764264229768,-37.609344746653484,-596.3330299074977,2.958514844124999,-4.819147357070458,-10.488,-10.49,-11.0214,-10.9197,-10.92,-11.475,-10.92,1.8656,-0.6805,4.8232,-1333.815873502955,-20.976,3.7312,-1.361,-16.502,-38.60031782295232,50.3018,49.6982,-14.371818999071664,65.1237,108.60158698888402,-16.502,-7.4831,45.2382,114.8677,0.9291,8.9698,55.2249,,54.99141449745347
2020-09-30,002466.SZ,-850.0,-850.0,-62.8404,-36.0892,-36.0892,-169.8071,,-158.7035,-192.3205817289303,-890.9465,-6383.79,-6383.79,-1473.1161,-51.9355,,-25.48742923488116,143.5212830221212,-48.709396815353685,-42.39770038521248,-1684.2175176932215,-5.583975098653415,-12.597540118829698,-17.2153,-17.22,-18.8453,-15.2024,,-16.6417,,2.0795,-1.2816,2.7644,-1130.4544115665922,-22.9537,2.7727,-1.7088,-23.5709,-40.146701712802944,44.6935,55.3065,-19.679961331735875,64.4647,105.58838180481642,-23.5709,-20.204,38.247,120.0899,1.1181,10.3713,52.9752,,
2020-12-31,002466.SZ,76.33587786259541,76.33587786259541,-70.4259,-33.0777,-33.0777,77.4727,,76.4714,79.4362200247401,69.3523,79.19,79.19,59.0099,-70.4265,52.20428625874395,-77.60429342405422,0.5074559214860133,-49.81879574646138,-25.2313414916498,-210.5605625922133,-8.184074049115498,-9.78883746858078,-30.1381,-30.14,-35.2232,-21.2751,-21.28,-24.8648,-30.14,1.7125,-2.5439,2.0043,54.607772140318176,-30.1381,1.7125,-2.5439,-34.8014,-39.960238898422965,41.4947,58.5053,-30.676935957179325,54.9396,96.98210840245964,-34.8014,-31.5584,23.4269,115.863,0.6333,13.2634,41.0429,5.370505794254097,34.035666571058215
2021-03-31,002466.SZ,50.0,50.0,2631.8182,-6.6312,-6.6312,58.6386,,60.6818,51.90957673478951,50.4559,75.43,75.43,38.9891,2646.2454,,-4.373603754937732,9.945405317557766,-3.373619300680665,-18.794680319912548,106.27483930189861,0.8072591302898153,-0.9209436759231251,-4.8867,-4.89,-5.0192,-3.1331,,-3.2181,,0.4717,-0.4287,0.6642,-87.48369668537566,-19.5468,1.8868,-1.7148,-20.1193,-17.575466617636348,45.5453,54.4547,-18.3047529212831,55.4583,105.5733991206016,-20.1193,-16.8375,22.1354,110.3226,0.4691,10.5215,44.4677,,
2021-06-30,002466.SZ,112.76595744680853,112.76595744680853,446.688,25.1324,25.1324,421.9416,,455.5981,179.54198752183368,112.3172,102.67,102.67,115.577,446.8116,-11.786955459288034,-62.74260447186215,-1.488952870501871,-36.35808336585449,-20.926736748499067,88.18595734651556,-4.739617251252507,-7.128200002965021,1.6817,1.67,1.7168,0.3792,0.38,0.3871,0.38,2.6856,0.5915,1.6,258.8604106891136,3.3634,5.3712,1.183,10.4897,0.8229480156846335,51.1525,48.8475,11.461478643646439,42.6739,98.32270748455475,10.4897,19.2526,47.6252,92.1322,0.3875,8.4829,33.8035,,56.18185419914211
2021-09-30,002466.SZ,147.99999999999997,147.99999999999997,107.4839,59.5823,59.5823,331.0783,,346.4745,221.8758194488534,148.0214,87.49,87.49,121.2963,107.4718,,-5.510312222862622,1.3337682599362235,-18.457284705802174,125.49169894457502,107.47340916614705,-25.46575488438423,-0.03549634530372323,5.7565,6.64,4.0133,-1.3246,,-0.9235,,5.4336,1.6463,3.701,546.9072075914909,7.6753,7.2448,2.1951,18.0015,-3.147930049678359,53.2786,46.7214,19.016125739246423,47.9432,98.99274087622796,18.0015,29.2557,59.4127,95.5216,0.2921,8.4378,39.2132,,
2021-12-31,002466.SZ,,,,,,,,,,,,87.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18,002466.SZ,,,,,,,,,,,,87.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-28,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-28,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-27,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-29,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-28,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-28,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-26,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,8.2055,,,,,,,5.537,2.8846,3.5423,,8.2055,5.537,2.8846,3.2694,,14.8718,85.1282,3.414693799259356,10.6177,5.525061903237857,3.2694,0.1681,6.2757,99.5484,1.7271,4.5391,4.3515,1734.9056483398365,7.436217482580798
2009-03-31,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,603799.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
