证券代码,证券简称,"收盘价
[交易日期] 2022-01-27
[债券价格类型] 收益率
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 净价
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 全价
[单位] 元","报价买入收益率(最优)
[交易日期] 2022-01-27
[单位] %","剩余期限(年)
[日期] 最新
[单位] 年","债券初始面值
[单位] 元",最新债项评级,到期日期,利率类型,计息方式,利率说明,每年付息次数,Coupon Date,"债券期限(年)
[单位] 年",债券期限(文字),计息基准,付息日说明,"债券期限(年)
[单位] 年","发行总额
[单位] (100M)元"
091900023.IB,19申万宏源金融债01,2.5600,100.5289,101.7599,,0.6247,100.0000,AAA,2022-09-18,固定利率,单利,3.43%,1,9月18日,3.0000,3,ACT/ACT,"每年9月18日付息,节假日顺延",3.0000,"6,000,000,000.0000"
091900024.IB,19招商证券金融债01BC,2.5364,100.6141,101.6349,2.6213,0.6877,100.0000,AAA,2022-10-11,固定利率,单利,3.45%,1,10月11日,3.0000,3,ACT/ACT,"每年10月11日付息,节假日顺延",3.0000,"5,000,000,000.0000"
091900025.IB,19东方债03BC,2.9780,100.7053,101.4443,,2.7562,100.0000,AAA,2024-11-05,固定利率,单利,3.25%,1,11月5日,5.0000,5,ACT/ACT,"每年11月5日付息,节假日顺延",5.0000,"6,000,000,000.0000"
091900026.IB,19中国华融债01(品种一),4.4972,99.3605,100.1106,,0.7808,100.0000,AAA,2022-11-14,固定利率,单利,3.70%,1,11月14日,3.0000,3,ACT/ACT,"每年11月14日付息,节假日顺延",3.0000,"19,000,000,000.0000"
091900027.IB,19中国华融债01(品种二),6.6122,93.6251,94.4462,,2.7808,100.0000,AAA,2024-11-14,固定利率,单利,4.05%,1,11月14日,5.0000,5,ACT/ACT,"每年11月14日付息,节假日顺延",5.0000,"6,000,000,000.0000"
091900028.IB,19法农银行债01,3.4135,99.9748,100.4685,,0.8384,100.0000,AAA,2022-12-05,固定利率,单利,3.40%,1,12月5日,3.0000,3,ACT/ACT,"每年12月5日付息,节假日顺延",3.0000,"1,000,000,000.0000"
091900029.IB,19东方二级资本债01BC,3.9200,101.7291,102.1643,,7.8795,100.0000,AAA,2029-12-20,固定利率,单利,4.18%,1,12月20日,10.0000,5+5,ACT/ACT,"每年12月20日付息,节假日顺延",10.0000,"5,000,000,000.0000"
091918002.IB,19农发清发02,1.9908,100.6015,101.7930,2.0265,0.5890,100.0000,,2022-09-05,固定利率,单利,3.02%,1,9月5日,3.0000,3,ACT/ACT,"每年9月5日付息,节假日顺延",3.0000,"11,000,000,000.0000"
091919001.IB,19中债增金融永续债01,4.5738,100.6940,103.2510,,0.4384,100.0000,AAA,2022-07-12,固定利率,单利,4.69%,1,7月12日,3.0000,3+N,ACT/ACT,"每年7月12日付息,节假日顺延",3.0000,"1,500,000,000.0000"
092000001.IB,20中国信达债01BC,3.8500,100.3355,103.8402,,8.0849,100.0000,AAA,2030-03-05,固定利率,单利,3.90%,1,3月5日,10.0000,10,ACT/ACT,"每年3月5日付息,节假日顺延",10.0000,"10,000,000,000.0000"
