,close,volume,boll_upper,expma_expma,ma_ma
2021-12-20 14:53:00,8.15,234600.0,8.2103361,8.1625588,8.1882
2021-12-20 14:54:00,8.18,164800.0,8.2093639,8.1642198,8.187
2021-12-20 14:55:00,8.16,131700.0,8.2075653,8.1638179,8.1856
2021-12-20 14:56:00,8.12,1097972.0,8.2084688,8.1596448,8.1836
2021-12-20 14:57:00,8.12,79100.0,8.2095468,8.1558691,8.1816
2021-12-20 14:58:00,,0.0,,,
2021-12-20 14:59:00,,0.0,,,
2021-12-20 15:00:00,8.17,1010687.0,8.2060725,8.1572149,8.181
2021-12-21 09:30:00,8.32,1441989.0,8.2427001,8.1727183,8.1834
2021-12-21 09:31:00,8.26,996111.0,8.2533134,8.1810308,8.1842
2021-12-21 09:32:00,8.22,530189.0,8.2564016,8.1847422,8.184
2021-12-21 09:33:00,8.24,325000.0,8.2632009,8.1900048,8.1846
2021-12-21 09:34:00,8.35,687600.0,8.2933433,8.2052424,8.1872
2021-12-21 09:35:00,8.39,1940000.0,8.3283503,8.2228384,8.1908
2021-12-21 09:36:00,8.4,1536182.0,8.3593736,8.2397109,8.195
2021-12-21 09:37:00,8.36,558300.0,8.377888,8.251167,8.1982
2021-12-21 09:38:00,8.4,584000.0,8.4021503,8.2653416,8.202
2021-12-21 09:39:00,8.28,879800.0,8.4072018,8.2667376,8.2034
2021-12-21 09:40:00,8.27,432400.0,8.4110866,8.2670483,8.2048
2021-12-21 09:41:00,8.29,682900.0,8.4164013,8.2692342,8.2066
2021-12-21 09:42:00,8.28,378600.0,8.4204016,8.2702595,8.2086
2021-12-21 09:43:00,8.3,191230.0,8.425225,8.273092,8.211
2021-12-21 09:44:00,8.36,219600.0,8.4356024,8.2813689,8.214
2021-12-21 09:45:00,8.32,337000.0,8.4404146,8.2850481,8.2166
2021-12-21 09:46:00,8.28,203200.0,8.4406517,8.2845673,8.2182
2021-12-21 09:47:00,8.3,200500.0,8.4405936,8.2860371,8.2204
2021-12-21 09:48:00,8.31,159300.0,8.441592,8.2883193,8.2224
2021-12-21 09:49:00,8.36,535600.0,8.4462387,8.295146,8.2258
2021-12-21 09:50:00,8.36,434800.0,8.4491735,8.3013226,8.2292
2021-12-21 09:51:00,8.41,945200.0,8.4593475,8.3116728,8.2336
2021-12-21 09:52:00,8.37,1812600.0,8.4607055,8.3172278,8.2374
2021-12-21 09:53:00,8.37,514400.0,8.454075,8.3222537,8.2408
2021-12-21 09:54:00,8.41,303600.0,8.4473111,8.3306105,8.2452
2021-12-21 09:55:00,8.44,694600.0,8.4496617,8.3410285,8.2502
2021-12-21 09:56:00,8.56,2058500.0,8.4887857,8.361883,8.2576
2021-12-21 09:57:00,8.65,2679800.0,8.5433222,8.3893227,8.2672
2021-12-21 09:58:00,8.55,2139700.0,8.5620716,8.4046253,8.2746
2021-12-21 09:59:00,8.63,1356600.0,8.595004,8.4260895,8.2838
2021-12-21 10:00:00,8.59,1432500.0,8.6184936,8.4417001,8.292
2021-12-21 10:01:00,8.57,482300.0,8.6357789,8.4539191,8.2996
2021-12-21 10:02:00,8.59,704800.0,8.6545249,8.4668792,8.3082
2021-12-21 10:03:00,8.6,605100.0,8.674029,8.4795574,8.3166
2021-12-21 10:04:00,8.6,560490.0,8.6913682,8.4910281,8.325
2021-12-21 10:05:00,8.66,1173520.0,8.7144524,8.5071207,8.3346
2021-12-21 10:06:00,8.71,1784070.0,8.7419122,8.5264425,8.3454
2021-12-21 10:07:00,8.67,925870.0,8.7599487,8.5401146,8.3558
2021-12-21 10:08:00,8.76,1228830.0,8.7887598,8.5610561,8.3682
2021-12-21 10:09:00,8.76,966900.0,8.8141136,8.5800031,8.3804
2021-12-21 10:10:00,8.88,1959311.0,8.8608011,8.6085743,8.3952
2021-12-21 10:11:00,8.95,2134200.0,8.9127671,8.641091,8.4116
2021-12-21 10:12:00,9.11,2144700.0,8.9888628,8.685749,8.4308
2021-12-21 10:13:00,9.15,2434301.0,9.0615778,8.7299634,8.4508
2021-12-21 10:14:00,9.12,2443814.0,9.1163342,8.7671097,8.4702
2021-12-21 10:15:00,9.06,1666000.0,9.1548695,8.795004,8.4878
2021-12-21 10:16:00,8.99,1955400.0,9.1767148,8.8135751,8.5044
2021-12-21 10:17:00,8.98,908800.0,9.1958795,8.8294251,8.5216
2021-12-21 10:18:00,8.94,884100.0,9.2029267,8.839956,8.538
2021-12-21 10:19:00,8.88,954410.0,9.1994441,8.8437697,8.5522
2021-12-21 10:20:00,8.85,1228500.0,9.193163,8.8443631,8.5628
2021-12-21 10:21:00,8.83,1274246.0,9.1847048,8.8429952,8.5742
2021-12-21 10:22:00,8.84,585100.0,9.1839298,8.8427099,8.5866
2021-12-21 10:23:00,8.82,735500.0,9.1852053,8.8405471,8.5982
2021-12-21 10:24:00,8.75,1020454.0,9.178505,8.8319235,8.6062
2021-12-21 10:25:00,8.75,505800.0,9.1760493,8.8241213,8.6134
2021-12-21 10:26:00,8.77,614200.0,9.17076,8.8189669,8.6208
