wind_code,date,i_weight
603160.SH,2021-12-01,0.1298
603195.SH,2021-12-01,0.0623
603233.SH,2021-12-01,0.0418
603259.SH,2021-12-01,1.3243
603288.SH,2021-12-01,0.7251
603338.SH,2021-12-01,0.1014
603369.SH,2021-12-01,0.1787
603392.SH,2021-12-01,0.0802
603501.SH,2021-12-01,0.7018
603517.SH,2021-12-01,0.0991
603658.SH,2021-12-01,0.0486
603659.SH,2021-12-01,0.187
603799.SH,2021-12-01,0.5647
603806.SH,2021-12-01,0.2312
603833.SH,2021-12-01,0.1079
603882.SH,2021-12-01,0.1464
603899.SH,2021-12-01,0.1051
603939.SH,2021-12-01,0.0812
603986.SH,2021-12-01,0.4442
603993.SH,2021-12-01,0.2175
688008.SH,2021-12-01,0.1787
688009.SH,2021-12-01,0.0641
688012.SH,2021-12-01,0.199
688036.SH,2021-12-01,0.193
688111.SH,2021-12-01,0.2492
688126.SH,2021-12-01,0.0732
688169.SH,2021-12-01,0.1017
688363.SH,2021-12-01,0.0582
688396.SH,2021-12-01,0.0955
000301.SZ,2021-12-13,
002064.SZ,2021-12-13,
002459.SZ,2021-12-13,
002466.SZ,2021-12-13,
002568.SZ,2021-12-13,
002709.SZ,2021-12-13,
002791.SZ,2021-12-13,
300316.SZ,2021-12-13,
300750.SZ,2021-12-13,
300759.SZ,2021-12-13,
300760.SZ,2021-12-13,
300782.SZ,2021-12-13,
300866.SZ,2021-12-13,
300888.SZ,2021-12-13,
300896.SZ,2021-12-13,
300999.SZ,2021-12-13,
600905.SH,2021-12-13,
601728.SH,2021-12-13,
601865.SH,2021-12-13,
601868.SH,2021-12-13,
601898.SH,2021-12-13,
601966.SH,2021-12-13,
603260.SH,2021-12-13,
603486.SH,2021-12-13,
605499.SH,2021-12-13,
688561.SH,2021-12-13,
688599.SH,2021-12-13,
688981.SH,2021-12-13,
000001.SZ,2021-06-01,1.1526
000002.SZ,2021-06-01,0.8992
000063.SZ,2021-06-01,0.4233
000066.SZ,2021-06-01,0.1323
000069.SZ,2021-06-01,0.1686
000100.SZ,2021-06-01,0.5686
000157.SZ,2021-06-01,0.2301
000166.SZ,2021-06-01,0.2122
000333.SZ,2021-06-01,1.9569
000338.SZ,2021-06-01,0.4284
000425.SZ,2021-06-01,0.1573
000538.SZ,2021-06-01,0.3172
000568.SZ,2021-06-01,1.0101
000596.SZ,2021-06-01,0.1421
000625.SZ,2021-06-01,0.2635
000651.SZ,2021-06-01,1.3456
000656.SZ,2021-06-01,0.0959
000661.SZ,2021-06-01,0.6078
000703.SZ,2021-06-01,0.1206
000708.SZ,2021-06-01,0.1179
000725.SZ,2021-06-01,0.8556
000728.SZ,2021-06-01,0.1038
000768.SZ,2021-06-01,0.1891
000776.SZ,2021-06-01,0.2337
000783.SZ,2021-06-01,0.1472
000786.SZ,2021-06-01,0.2319
000858.SZ,2021-06-01,3.0428
000860.SZ,2021-06-01,0.1319
000876.SZ,2021-06-01,0.1736
000895.SZ,2021-06-01,0.1835
000938.SZ,2021-06-01,0.1553
000963.SZ,2021-06-01,0.2182
000977.SZ,2021-06-01,0.1471
001979.SZ,2021-06-01,0.1822
002001.SZ,2021-06-01,0.2465
002007.SZ,2021-06-01,0.2177
002008.SZ,2021-06-01,0.1579
002024.SZ,2021-06-01,0.1258
002027.SZ,2021-06-01,0.5143
002032.SZ,2021-06-01,0.0582
002044.SZ,2021-06-01,0.1595
002049.SZ,2021-06-01,0.296
002050.SZ,2021-06-01,0.1951
002120.SZ,2021-06-01,0.0818
002129.SZ,2021-06-01,0.2615
002142.SZ,2021-06-01,0.634
002153.SZ,2021-06-01,0.0598
002157.SZ,2021-06-01,0.0983
002179.SZ,2021-06-01,0.2149
002202.SZ,2021-06-01,0.1655
002230.SZ,2021-06-01,0.5336
002236.SZ,2021-06-01,0.2017
002241.SZ,2021-06-01,0.4785
002252.SZ,2021-06-01,0.1014
002271.SZ,2021-06-01,0.5449
002304.SZ,2021-06-01,0.6991
002311.SZ,2021-06-01,0.3151
002352.SZ,2021-06-01,0.6341
002371.SZ,2021-06-01,0.2483
002384.SZ,2021-06-01,0.1109
002410.SZ,2021-06-01,0.3441
002414.SZ,2021-06-01,0.1271
002415.SZ,2021-06-01,1.1784
002456.SZ,2021-06-01,0.0975
002460.SZ,2021-06-01,0.5121
002463.SZ,2021-06-01,0.0919
002475.SZ,2021-06-01,0.816
002493.SZ,2021-06-01,0.283
002508.SZ,2021-06-01,0.105
002555.SZ,2021-06-01,0.1534
002558.SZ,2021-06-01,0.0561
002594.SZ,2021-06-01,0.853
002600.SZ,2021-06-01,0.1225
002601.SZ,2021-06-01,0.2328
002602.SZ,2021-06-01,0.1223
002607.SZ,2021-06-01,0.0833
002624.SZ,2021-06-01,0.122
002673.SZ,2021-06-01,0.0772
002714.SZ,2021-06-01,0.8375
002736.SZ,2021-06-01,0.1582
002739.SZ,2021-06-01,0.0755
002773.SZ,2021-06-01,0.0455
002812.SZ,2021-06-01,0.3788
002821.SZ,2021-06-01,0.2752
002841.SZ,2021-06-01,0.2143
002916.SZ,2021-06-01,0.0828
002938.SZ,2021-06-01,0.1091
002939.SZ,2021-06-01,0.0478
